region_id,baseline_irv,perturbed_irv,delta_irv,replacement_rate,selected_paths
1,30.6801765752,30.8272825183,0.1471059430,0.15,3729
2,49.9792739350,49.1031524862,-0.8761214488,0.15,3729
3,165.3582423856,165.7421332215,0.3838908359,0.15,3729
4,73.2276998600,70.8805905269,-2.3471093331,0.15,3729
5,105.1053986282,109.5705251183,4.4651264901,0.15,3729
6,490.2971020387,486.6747475649,-3.6223544739,0.15,3729
7,667.0475471746,673.2787750946,6.2312279200,0.15,3729
8,2091.4366106249,2079.4211306264,-12.0154799985,0.15,3729
9,0.4103961793,0.7631406920,0.3527445127,0.15,3729
10,313.7578129983,312.3761752703,-1.3816377280,0.15,3729
11,246.1392265499,245.8876970002,-0.2515295497,0.15,3729
12,21.8732899369,18.9783526934,-2.8949372435,0.15,3729
13,17.9556034177,16.2115764907,-1.7440269269,0.15,3729
14,46.0801944905,46.0386732659,-0.0415212246,0.15,3729
15,86.1278996712,86.9083656613,0.7804659900,0.15,3729
16,271.3529851777,276.7904263046,5.4374411269,0.15,3729
17,4.3666434892,4.4964508450,0.1298073558,0.15,3729
18,1.4336116004,1.1661568637,-0.2674547367,0.15,3729
19,19.7303610128,19.2793525094,-0.4510085034,0.15,3729
20,5.9761853071,6.7402315046,0.7640461975,0.15,3729
21,218.3020822582,216.4731294431,-1.8289528150,0.15,3729
22,337.1531190925,331.1617758754,-5.9913432172,0.15,3729
23,31.4082922850,32.4168305140,1.0085382290,0.15,3729
24,611.5121365967,610.9803176965,-0.5318189001,0.15,3729
25,12.6696562688,13.6600736167,0.9904173479,0.15,3729
26,8.7295842462,6.1106046901,-2.6189795561,0.15,3729
27,11.7641826965,11.9989667187,0.2347840222,0.15,3729
28,550.6869754267,565.4935598343,14.8065844076,0.15,3729
29,8.8096482890,9.1576182627,0.3479699737,0.15,3729
30,121.4900769929,123.2699753812,1.7798983883,0.15,3729
31,97.9266615949,95.1386800572,-2.7879815376,0.15,3729
32,887.3106290269,885.0284679333,-2.2821610936,0.15,3729
33,132.2781358523,134.0991061914,1.8209703391,0.15,3729
34,52.6743256362,55.2767166287,2.6023909925,0.15,3729
35,27.5656241470,27.7904073525,0.2247832055,0.15,3729
36,18.6664666570,16.5729708583,-2.0934957987,0.15,3729
37,16.8726594501,17.6505609896,0.7779015395,0.15,3729
38,8.0998500228,9.7437094787,1.6438594558,0.15,3729
39,17.7772415867,16.3532161067,-1.4240254801,0.15,3729
40,10.1042929966,10.6774360781,0.5731430816,0.15,3729
41,17.3265923537,16.3115731724,-1.0150191813,0.15,3729
42,6.5066315028,6.4036673723,-0.1029641305,0.15,3729
43,7.3656475223,7.1980706076,-0.1675769147,0.15,3729
44,6.4648777477,6.5820317754,0.1171540277,0.15,3729
45,2.5627014013,2.6078022907,0.0451008893,0.15,3729
46,1.9589760041,1.9488661779,-0.0101098262,0.15,3729
47,0.0707286060,0.1679999216,0.0972713156,0.15,3729
48,1.5507146820,1.6862226548,0.1355079728,0.15,3729
49,3.1036079905,3.3903897583,0.2867817678,0.15,3729
50,1.1654220274,1.2703286858,0.1049066584,0.15,3729
51,1.3357294227,1.8421160369,0.5063866142,0.15,3729
52,0.9405133339,0.5372856388,-0.4032276950,0.15,3729
53,0.3893538249,0.3893538249,0.0000000000,0.15,3729
54,0.0891282861,0.0891282861,0.0000000000,0.15,3729
55,0.3409214174,0.2655186346,-0.0754027828,0.15,3729
56,102.5476605766,102.4231468547,-0.1245137219,0.15,3729
57,14.5303588848,12.8947079745,-1.6356509103,0.15,3729
58,31.9742286944,29.6371196354,-2.3371090590,0.15,3729
59,30.4988112178,30.2786084075,-0.2202028103,0.15,3729
60,68.2952829005,66.9347212647,-1.3605616358,0.15,3729
61,6.9632111642,6.5483901030,-0.4148210612,0.15,3729
62,2.8106467153,2.9798489553,0.1692022400,0.15,3729
63,4.6847858926,5.5010413344,0.8162554419,0.15,3729
64,1.1892842229,1.2432729274,0.0539887045,0.15,3729
65,2.3247677397,2.7003984976,0.3756307579,0.15,3729
66,2.4793546195,3.0824068713,0.6030522517,0.15,3729
67,6.8384476625,6.5807314919,-0.2577161706,0.15,3729
68,11.1547698687,12.0587637627,0.9039938939,0.15,3729
69,16.7035223607,16.7724962909,0.0689739302,0.15,3729
70,2.3285240659,2.3605093916,0.0319853256,0.15,3729
71,3.3174917708,3.5491129741,0.2316212034,0.15,3729
72,0.5237238850,0.5469808004,0.0232569154,0.15,3729
73,2.0682994624,2.1346423872,0.0663429248,0.15,3729
74,0.2306257188,0.2306257188,0.0000000000,0.15,3729
75,0.6465880726,0.6465880726,0.0000000000,0.15,3729
76,430.8091963103,429.3529019269,-1.4562943834,0.15,3729
77,111.9332413442,113.4461897028,1.5129483586,0.15,3729
