name,highway,alternative_irv,alternative_segments,shortest_irv,shortest_segments,delta_irv
Eisenhower Expressway,motorway,30.222368539931587,2390.0,9.179922383605332,552.0,21.042446156326257
North Damen Avenue,secondary,11.100305840229092,384.0,0.0,0.0,11.100305840229092
West Randolph Street,secondary,13.198556705450539,902.0,2.434728169440625,155.0,10.763828536009914
South Damen Avenue,secondary,9.175370541384726,326.0,0.025874096419231756,1.0,9.149496444965495
West Van Buren Street,tertiary,7.062276820871863,579.0,1.2734384884695682,45.0,5.788838332402294
North Halsted Street,secondary,5.308197265942902,176.0,0.0,0.0,5.308197265942902
West Lake Street,secondary,6.998112868261256,314.0,2.1047812076108934,211.0,4.893331660650363
West Washington Boulevard,tertiary,5.2361679850456095,140.0,1.5321491821004358,149.0,3.704018802945174
South Canal Street,secondary,4.0125608786789515,134.0,0.7679019524759394,45.0,3.2446589262030123
South Loomis Street,tertiary,3.2115854193930713,87.0,0.0,0.0,3.2115854193930713
West Roosevelt Road,secondary,3.2796900438998966,124.0,0.3874068951557074,29.0,2.8922831487441893
North Clinton Street,tertiary,3.1231216286530854,181.0,0.33503054860107195,28.0,2.7880910800520136
North Jefferson Street,secondary,1.8970285811440486,56.0,0.20219105339447369,15.0,1.6948375277495749
North Desplaines Street,secondary,1.7402766765590854,68.0,0.140120724087,5.0,1.6001559524720854
South Clinton Street,secondary,2.3690461688994775,144.0,0.7914396979115673,39.0,1.5776064709879103
West Adams Street,secondary,2.624642384481965,149.0,1.1654487295095244,56.0,1.4591936549724407
North Canal Street,tertiary,1.7208410993676007,155.0,0.2803582404313459,28.0,1.4404828589362548
North Western Avenue,secondary,1.4122828594093526,75.0,0.0,0.0,1.4122828594093526
North Upper Wacker Drive,secondary,1.5029892360017318,72.0,0.22231420354880005,12.0,1.280675032452932
West Kinzie Street,tertiary,1.4642649803071606,50.0,0.20616863156937346,60.0,1.2580963487377872
South Racine Avenue,tertiary,1.2401651479687927,170.0,0.0,0.0,1.2401651479687927
West Harrison Street,secondary,6.310681174016202,623.0,5.388414243587493,518.0,0.9222669304287088
South Halsted Street,secondary,1.7841784081610443,220.0,0.8856838871569561,30.0,0.8984945210040882
South Jefferson Street,secondary,2.13361382389176,69.0,1.3359330255126545,49.0,0.7976807983791057
South Western Avenue,secondary,0.8857255849059174,63.0,0.12146546666819297,2.0,0.7642601182377244
West Taylor Street,tertiary,0.8175953354856251,22.0,0.08226433850143237,2.0,0.7353309969841928
West Congress Parkway,tertiary,0.8578208973653537,76.0,0.15087186815448997,37.0,0.7069490292108638
South Morgan Street,tertiary,0.6968107296625748,77.0,0.0,0.0,0.6968107296625748
West Jackson Boulevard,tertiary,1.8195309587203434,52.0,1.2440076230986854,42.0,0.575523335621658
West Madison Street,secondary,3.805994770207504,150.0,3.3907372901148563,184.0,0.41525748009264785
West Van Buren Street,secondary,1.0092646018653681,156.0,0.600997644854698,74.0,0.4082669570106702
West Washington Boulevard,secondary,1.267344510789143,73.0,0.9252857140557738,35.0,0.34205879673336925
West Monroe Street,secondary,1.0903818351910948,69.0,0.7615191037948553,35.0,0.32886273139623945
Dan Ryan Expressway,motorway,3.2955842023572828,401.0,2.9668122885898995,224.0,0.32877191376738324
West 18th Street,secondary,0.2886468889047868,27.0,0.0,0.0,0.2886468889047868
South Wells Street,tertiary,0.2769202809321393,6.0,0.0,0.0,0.2769202809321393
South Lower Wacker Drive,trunk,0.3218347938669658,8.0,0.061657302666745704,2.0,0.2601774912002201
North Green Street,tertiary,0.2339873019013595,4.0,0.0,0.0,0.2339873019013595
South Upper Wacker Drive,secondary,0.5150941043144924,14.0,0.29822006703098397,11.0,0.21687403728350846
West Fulton Street,secondary,0.16762041978974743,7.0,0.0,0.0,0.16762041978974743
West Warren Boulevard,tertiary,1.5755583338904722,39.0,1.415571618622793,75.0,0.15998671526767927
West Kinzie Street,secondary,0.1586404626739557,17.0,0.0,0.0,0.1586404626739557
South Desplaines Street,secondary,0.8026310948373068,100.0,0.6479287108562506,67.0,0.15470238398105618
North Desplaines Street,tertiary,0.14690656647687125,7.0,0.0,0.0,0.14690656647687125
Union Avenue,tertiary,0.22300490364565562,7.0,0.08902638605426046,1.0,0.13397851759139517
West Fulton Street,tertiary,0.1136321644714168,5.0,0.0,0.0,0.1136321644714168
North Milwaukee Avenue,secondary,0.11153020229793935,4.0,0.0,0.0,0.11153020229793935
North Lower Wacker Drive,trunk,0.08892093497613161,8.0,0.0,0.0,0.08892093497613161
West Washington Street,secondary,0.0812898801211043,8.0,0.0,0.0,0.0812898801211043
South California Avenue,secondary,0.06983087956253801,1.0,0.0,0.0,0.06983087956253801
South Lower Wacker Drive,secondary,0.05350660885677114,6.0,0.0,0.0,0.05350660885677114
South Wacker Drive,secondary,0.05350660885677114,6.0,0.0,0.0,0.05350660885677114
West Upper Wacker Drive,secondary,0.08892093497613161,8.0,0.039988180359221595,2.0,0.04893275461691002
North Milwaukee Avenue,tertiary,0.08924440984242502,10.0,0.042503586996204525,4.0,0.04674082284622049
South Ruble Street,tertiary,0.23524000576297022,23.0,0.20810280544890664,10.0,0.02713720031406358
West Washington Street,tertiary,0.0024927067536579706,1.0,0.0,0.0,0.0024927067536579706
West Adams Street,tertiary,1.5661246317802346,45.0,1.613299438710618,43.0,-0.04717480693038345
South Union Avenue,tertiary,0.0,0.0,0.06573349358741765,8.0,-0.06573349358741765
West Fulton Market,tertiary,0.015896859401686447,4.0,0.11790680367218502,30.0,-0.10200994427049857
West Randolph Street,tertiary,0.08536382427783143,17.0,0.23315512695528567,148.0,-0.14779130267745424
West Jackson Boulevard,secondary,1.9782826988693216,129.0,2.133489958004648,85.0,-0.1552072591353264
North Ashland Avenue,secondary,0.0,0.0,0.1560445915883352,11.0,-0.1560445915883352
West Taylor Street,secondary,0.1297682092915119,17.0,0.3131199592293138,11.0,-0.1833517499378019
South Ashland Avenue,secondary,14.405990509269014,1008.0,15.57777843446156,818.0,-1.1717879251925467
Kennedy Expressway,motorway,5.0906844716910165,541.0,6.7107577286645785,854.0,-1.620073256973562
West Ogden Avenue,secondary,1.5299600160289513,137.0,5.201745073155412,238.0,-3.6717850571264607
North Ogden Avenue,secondary,0.7477816641683619,76.0,10.736944230571767,1094.0,-9.989162566403404
