region_id,baseline_irv,perturbed_irv,delta_irv,replacement_rate,selected_paths
1,0.0000000000,0.0000000000,0.0000000000,0.2,7829
2,0.0000000000,0.0000000000,0.0000000000,0.2,7829
3,0.0000000000,0.0000000000,0.0000000000,0.2,7829
4,0.0000000000,0.0000000000,0.0000000000,0.2,7829
5,0.0000000000,0.0000000000,0.0000000000,0.2,7829
6,0.0000000000,0.0000000000,0.0000000000,0.2,7829
7,0.0000000000,0.0000000000,0.0000000000,0.2,7829
8,0.0000000000,0.0000000000,0.0000000000,0.2,7829
9,0.0000000000,0.0000000000,0.0000000000,0.2,7829
10,0.0000000000,0.0000000000,0.0000000000,0.2,7829
11,0.0000000000,0.0000000000,0.0000000000,0.2,7829
12,0.0000000000,0.0000000000,0.0000000000,0.2,7829
13,0.0000000000,0.0000000000,0.0000000000,0.2,7829
14,0.0000000000,0.0000000000,0.0000000000,0.2,7829
15,0.0000000000,0.0000000000,0.0000000000,0.2,7829
16,0.0000000000,0.0000000000,0.0000000000,0.2,7829
17,0.0000000000,0.0000000000,0.0000000000,0.2,7829
18,0.0000000000,0.0000000000,0.0000000000,0.2,7829
19,0.0000000000,0.0000000000,0.0000000000,0.2,7829
20,0.0000000000,0.0000000000,0.0000000000,0.2,7829
21,0.0000000000,0.0000000000,0.0000000000,0.2,7829
22,0.0000000000,0.0000000000,0.0000000000,0.2,7829
23,0.0000000000,0.0000000000,0.0000000000,0.2,7829
24,0.0000000000,0.0000000000,0.0000000000,0.2,7829
25,0.0000000000,0.0000000000,0.0000000000,0.2,7829
26,0.0000000000,0.0000000000,0.0000000000,0.2,7829
27,0.0000000000,0.0000000000,0.0000000000,0.2,7829
28,0.0000000000,0.0000000000,0.0000000000,0.2,7829
29,0.0000000000,0.0000000000,0.0000000000,0.2,7829
30,0.0000000000,0.0000000000,0.0000000000,0.2,7829
31,0.0000000000,0.0000000000,0.0000000000,0.2,7829
32,0.0000000000,0.0000000000,0.0000000000,0.2,7829
33,0.0000000000,0.0000000000,0.0000000000,0.2,7829
34,0.0000000000,0.0000000000,0.0000000000,0.2,7829
35,0.0000000000,0.0000000000,0.0000000000,0.2,7829
36,0.0000000000,0.0000000000,0.0000000000,0.2,7829
37,0.0000000000,0.0000000000,0.0000000000,0.2,7829
38,0.0394289372,0.0394289372,0.0000000000,0.2,7829
39,0.0000000000,0.0000000000,0.0000000000,0.2,7829
40,0.0000000000,0.0000000000,0.0000000000,0.2,7829
41,0.4468325902,0.4468325902,0.0000000000,0.2,7829
42,0.0000000000,0.0000000000,0.0000000000,0.2,7829
43,0.0000000000,0.0000000000,0.0000000000,0.2,7829
44,0.0000000000,0.0000000000,0.0000000000,0.2,7829
45,0.0000000000,0.0000000000,0.0000000000,0.2,7829
46,0.0000000000,0.0000000000,0.0000000000,0.2,7829
47,0.0000000000,0.0000000000,0.0000000000,0.2,7829
48,0.0186860136,0.0186860136,0.0000000000,0.2,7829
49,0.0044927813,0.0044018169,-0.0000909644,0.2,7829
50,0.0265912004,0.0265912004,0.0000000000,0.2,7829
51,0.0175354090,0.0175354090,0.0000000000,0.2,7829
52,0.0000000000,0.0000000000,0.0000000000,0.2,7829
53,0.0973989986,0.0973989986,0.0000000000,0.2,7829
54,0.5506910885,0.5506910885,0.0000000000,0.2,7829
55,0.0000000000,0.0000000000,0.0000000000,0.2,7829
56,0.0000000000,0.0000000000,0.0000000000,0.2,7829
57,0.0000000000,0.0000000000,0.0000000000,0.2,7829
58,0.0000000000,0.0000000000,0.0000000000,0.2,7829
59,0.1628451901,0.1628451901,0.0000000000,0.2,7829
60,0.0000000000,0.0000000000,0.0000000000,0.2,7829
61,2.0985910535,2.0985910535,0.0000000000,0.2,7829
62,0.0000000000,0.0000000000,0.0000000000,0.2,7829
63,0.0000000000,0.0000000000,0.0000000000,0.2,7829
64,0.0000000000,0.0000000000,0.0000000000,0.2,7829
